	colon_polyA_3	colon_polyA_4	colon_polyA_1	colon_polyA_2	colon_total_3	colon_total_4	colon_total_1	colon_total_2	pbmc_polyA_3	pbmc_polyA_4	pbmc_polyA_1	pbmc_polyA_2	pbmc_total_3	pbmc_total_4	pbmc_total_1	pbmc_total_2
CRYBG3	195925	194066	206461	228432	110083	93965	93008	92970	72375	71393	75940	70147	40828	40071	37041	35644
RIOX2	62892	63235	64796	69869	86909	78364	75813	75933	52423	46744	52472	52898	63304	59407	60911	57945
GABRR3	152	0	0	0	0	0	0	0	956	1002	1065	694	76	0	0	0
OR5AC2	0	0	0	0	0	0	0	0	76	76	0	149	0	0	0	0
OR5H1	0	0	0	0	0	0	0	0	75	74	185	11	0	0	0	0
OR5H14	0	0	0	0	0	0	0	0	0	152	76	151	0	0	0	0
OR5H15	0	0	0	0	0	0	0	0	152	75	0	228	0	0	0	0
OR5H6	0	0	0	0	0	0	0	0	152	91	0	298	0	0	0	0
OR5H2	0	0	0	75	0	0	0	0	225	301	227	0	0	0	0	0
OR5K4	76	76	0	152	0	0	0	0	76	0	152	151	0	0	0	0
OR5K3	0	54	0	0	0	0	0	0	0	0	0	74	0	0	0	0
OR5K1	0	39	222	148	75	0	76	0	152	150	124	151	0	0	0	0
OR5K2	753	349	366	378	482	304	301	302	1276	1074	1083	975	76	301	151	76
CLDND1	131470	128313	126691	131874	225492	211153	203388	210669	90611	80400	84146	77790	115411	118286	113307	117441
GPR15	11414	13418	11791	11870	8186	8450	7802	10258	4936	4456	3659	5205	1205	3102	2522	2498
CPOX	87447	89745	84793	85380	142362	128713	124964	127328	35177	39141	37059	34353	40777	42347	45207	41094
ST3GAL6	8799	10952	12518	11026	13917	10170	10056	10619	33526	28751	29673	24944	36730	34032	33215	30794
DCBLD2	47443	48831	47364	51218	51846	44798	44341	44427	12437	10460	9780	10679	5441	2726	3236	2879
COL8A1	14198	12937	15572	15387	18211	19914	17737	18856	1276	2212	1887	2307	375	303	370	303
FILIP1L	94309	90813	92433	111653	185846	164984	158475	157371	17055	13555	15131	14207	3352	5262	4342	4124
CMSS1	15045	11585	11298	12438	18950	19290	14221	15944	10853	9000	9468	10723	13632	14692	15082	12192
TBC1D23	238928	233513	223565	254478	247325	208023	200259	191683	77749	76452	70156	68282	61294	58894	62867	60591
NIT2	47337	48094	47060	47053	54720	57265	57018	59428	39383	33889	40027	37376	64572	61184	64867	58035
TOMM70	220873	229418	218182	233019	253887	213445	213805	209284	58840	56880	54549	51975	82507	81899	81063	78320
LNP1	3002	3897	3717	4633	5326	4901	4056	4443	2420	1800	2217	1452	977	1625	1953	1925
TMEM45A	6111	6461	6143	6016	11073	9705	9752	9831	2309	2184	2772	1785	676	1663	1864	1046
ADGRG7	342492	349185	326232	338141	332417	301796	294367	301929	7875	5839	4739	6378	4068	3871	3282	2072
